Direction,Calculation,Home Pmns,Partner Pmns,Traffic Period,Service Type,Event Type,Discount Call Destinations,Discount Calculation Type,Discount Basis,Discount Basis Value,Discount Balancing,Discount Bound Type,Discount Lower Bound,Discount Upper Bound,Currency,Forecast Volume EoA,Traffic Volume Restricted EoA,Discounted Charge EoA,Average Rate EoA,TAP Charge EoA,TAP Charge Restricted Cum,Traffic Volume Restricted Cum,Discounted Charge Cum,Average Rate Cum,Segment
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,Voice,MO,AUT:BEL:BGR:CYP:CZE:DEU:DNK:ESP:EST:FIN:FRA:GRC:HRV:HUN:IRL:ISL:ITA:LIE:LTU:LUX:LVA:MLT:NLD:NOR:POL:PRT:ROU:SVK:SVN:SWE,"Single Rate Effective (Voice, SMS, Data)",Value,.015,No Balancing Specified,,,,EUR,"285,765.48364","285,115.73009","4,276.73595",0.015,"6,679.87464",46.19068,"2,293.61667",34.40425,0.015,
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,Voice,MO,ALB:ASC:AZE:BDI:BIH:BMU:CAF:COD:COG:COK:COM:CUB:DJI:DZA:FJI:FLK:FSM:GIN:GMB:GNB:GRL:KIR:KNA:LBR:MAR:MCO:MDG:MDV:MHL:MRT:NFK:NIU:NRU:PLW:PNG:PRK:RWA:SEN:SHN:SLB:SLE:SMR:SOM:SPM:SRB:SSD:STP:SYC:TCD:TGO:TKL:TLS:TON:TUN:TUV:VUT:WLF:WSM:XKX:ZWE,"Single Rate Effective (Voice, SMS, Data)",Value,.7,No Balancing Specified,,,,EUR,,0.0,0.0,,0.0,0.0,0.0,0.0,,
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,Voice,MO,ABW:AFG:AGO:AIA:ALA:AND:ANT:ARE:ARG:ARM:ASM:ATA:ATF:ATG:AUS:BEN:BES:BFA:BGD:BHR:BHS:BLM:BLR:BLZ:BOL:BRA:BRB:BRN:BTN:BVT:BWA:CAN:CCK:CHE:CHL:CHN:CIV:CMR:COL:CPV:CRI:CUW:CXR:CYM:DMA:DOM:ECU:EGY:ERI:ESH:ETH:FRO:GBR:GEO:GGY:GHA:GIB:GLP:GNQ:GRD:GTM:GUF:GUM:GUY:HKG:HMD:HND:HTI:IDN:IMN:IND:IOT:IRN:IRQ:ISR:JAM:JEY:JOR:JPN:KAZ:KEN:KGZ:KHM:KOR:KWT:LAO:LBN:LBY:LCA:LKA:LSO:MAC:MAF:MDA:MEX:MKD:MLI:MMR:MNE:MNG:MNP:MOZ:MSR:MTQ:MUS:MWI:MYS:MYT:NAM:NCL:NER:NGA:NIC:NPL:NZL:OMN:PAK:PAN:PCN:PER:PHL:PRI:PRY:PSE:PYF:QAT:REU:RUS:SAU:SDN:SGP:SGS:SJM:SLV:SUR:SWZ:SXM:SYR:TCA:THA:TJK:TKM:TTO:TUR:TWN:TZA:UGA:UKR:UMI:URY:USA:UZB:VAT:VCT:VEN:VGB:VIR:VNM:YEM:ZAF:ZMB,"Single Rate Effective (Voice, SMS, Data)",Value,.3,No Balancing Specified,,,,EUR,,649.75355,194.92606,0.3,"1,015.37863",34.90006,22.46667,6.74,0.3,
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,Voice,MT,,"Single Rate Effective (Voice, SMS, Data)",Value,0,No Balancing Specified,,,,EUR,"154,810.99337","154,810.99337",0.0,0.0,0.0,0.0,"1,288.23333",0.0,0.0,
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,SMS,MO,,"Single Rate Effective (Voice, SMS, Data)",Value,.001,No Balancing Specified,,,,EUR,"78,917.87006","78,917.87006",78.91787,0.001,237.66653,2.2647,752.0,0.752,0.001,
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,Data,MB,,"Single Rate Effective (Voice, SMS, Data)",Value,.0012,Balanced,,,,EUR,"103,184,827.84069","6,325,775.98193","7,590.93118",0.0012,"10,516.03589","1,205.82504","826,673.96817",71.0634,0.000086,
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,Data,MB,,"Single Rate Effective (Voice, SMS, Data)",Value,.0012,Balanced,,,,EUR,914.44627,56.0604,0.06727,0.0012,0.07123,0.99429,782.57452,0.06727,0.000086,M2M Undefined
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,Data,MB,,"Single Rate Effective (Voice, SMS, Data)",Value,.0006,Un-Balanced,,,,EUR,,"96,859,051.85876","58,115.43112",0.0006,"161,019.49685",203.19376,"139,302.95629",544.05446,0.0039055,
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-JAN-25,Data,MB,,"Single Rate Effective (Voice, SMS, Data)",Value,.0006,Un-Balanced,,,,EUR,,858.38587,0.51503,0.0006,1.09061,0.16755,131.87175,0.51503,0.0039055,M2M Undefined
Customer/Outbound,"Before ""Send or Pay Financial Commitment"" for Standard EoA","DNKTD, NUM2M",ITASI,01-FEB-25,Voice,MO,AUT:BEL:BGR:CYP:CZE:DEU:DNK:ESP:EST:FIN:FRA:GRC:HRV:HUN:IRL:ISL:ITA:LIE:LTU:LUX:LVA:MLT:NLD:NOR:POL:PRT:ROU:SVK:SVN:SWE,"Single Rate Effective (Voice, SMS, Data)",Value,.015,No Balancing Specified,,,,EUR,"286,784.63825","286,133.60619","4,292.00409",0.015,"6,660.52813",71.19154,"3,509.4",52.641,0.015,
